id,variavel,unidade,categoria_id,categoria_nome,localidade_id,localidade_nome,nivel_id,nivel_nome,ano,valor
"id    606
id      1
Name: 0, dtype: object",População,Pessoas,,,17,Tocantins,N3,Unidade da Federação,2010,1383445
"id    606
id      1
Name: 0, dtype: object",População,Pessoas,,,21,Maranhão,N3,Unidade da Federação,1950,1583248
"id    606
id      1
Name: 0, dtype: object",População,Pessoas,,,21,Maranhão,N3,Unidade da Federação,1960,2492139
"id    606
id      1
Name: 0, dtype: object",População,Pessoas,,,21,Maranhão,N3,Unidade da Federação,1970,3037135
"id    606
id      1
Name: 0, dtype: object",População,Pessoas,,,21,Maranhão,N3,Unidade da Federação,1980,4097231
"id    606
id      1
Name: 0, dtype: object",População,Pessoas,,,21,Maranhão,N3,Unidade da Federação,1991,4929029
"id    606
id      1
Name: 0, dtype: object",População,Pessoas,,,21,Maranhão,N3,Unidade da Federação,2000,5642960
"id    606
id      1
Name: 0, dtype: object",População,Pessoas,,,21,Maranhão,N3,Unidade da Federação,2010,6574789
"id    606
id      1
Name: 0, dtype: object",População,Pessoas,,,22,Piauí,N3,Unidade da Federação,1950,1045696
"id    606
id      1
Name: 0, dtype: object",População,Pessoas,,,22,Piauí,N3,Unidade da Federação,1960,1263368
"id    606
id      1
Name: 0, dtype: object",População,Pessoas,,,22,Piauí,N3,Unidade da Federação,1970,1734894
"id    606
id      1
Name: 0, dtype: object",População,Pessoas,,,22,Piauí,N3,Unidade da Federação,1980,2188150
"id    606
id      1
Name: 0, dtype: object",População,Pessoas,,,22,Piauí,N3,Unidade da Federação,1991,2581215
"id    606
id      1
Name: 0, dtype: object",População,Pessoas,,,22,Piauí,N3,Unidade da Federação,2000,2841202
"id    606
id      1
Name: 0, dtype: object",População,Pessoas,,,22,Piauí,N3,Unidade da Federação,2010,3118360
"id    606
id      1
Name: 0, dtype: object",População,Pessoas,,,23,Ceará,N3,Unidade da Federação,1950,2695450
"id    606
id      1
Name: 0, dtype: object",População,Pessoas,,,23,Ceará,N3,Unidade da Federação,1960,3337856
"id    606
id      1
Name: 0, dtype: object",População,Pessoas,,,23,Ceará,N3,Unidade da Federação,1970,4491590
"id    606
id      1
Name: 0, dtype: object",População,Pessoas,,,23,Ceará,N3,Unidade da Federação,1980,5380432
"id    606
id      1
Name: 0, dtype: object",População,Pessoas,,,23,Ceará,N3,Unidade da Federação,1991,6362620
"id    606
id      1
Name: 0, dtype: object",População,Pessoas,,,23,Ceará,N3,Unidade da Federação,2000,7418476
"id    606
id      1
Name: 0, dtype: object",População,Pessoas,,,23,Ceará,N3,Unidade da Federação,2010,8452381
"id    606
id      1
Name: 0, dtype: object",População,Pessoas,,,24,Rio Grande do Norte,N3,Unidade da Federação,1950,967921
"id    606
id      1
Name: 0, dtype: object",População,Pessoas,,,24,Rio Grande do Norte,N3,Unidade da Federação,1960,1157258
"id    606
id      1
Name: 0, dtype: object",População,Pessoas,,,24,Rio Grande do Norte,N3,Unidade da Federação,1970,1611606
"id    606
id      1
Name: 0, dtype: object",População,Pessoas,,,24,Rio Grande do Norte,N3,Unidade da Federação,1980,1933126
"id    606
id      1
Name: 0, dtype: object",População,Pessoas,,,24,Rio Grande do Norte,N3,Unidade da Federação,1991,2414121
"id    606
id      1
Name: 0, dtype: object",População,Pessoas,,,24,Rio Grande do Norte,N3,Unidade da Federação,2000,2771538
"id    606
id      1
Name: 0, dtype: object",População,Pessoas,,,24,Rio Grande do Norte,N3,Unidade da Federação,2010,3168027
"id    606
id      1
Name: 0, dtype: object",População,Pessoas,,,25,Paraíba,N3,Unidade da Federação,1950,1713259
"id    606
id      1
Name: 0, dtype: object",População,Pessoas,,,25,Paraíba,N3,Unidade da Federação,1960,2018023
"id    606
id      1
Name: 0, dtype: object",População,Pessoas,,,25,Paraíba,N3,Unidade da Federação,1970,2445419
"id    606
id      1
Name: 0, dtype: object",População,Pessoas,,,25,Paraíba,N3,Unidade da Federação,1980,2810032
"id    606
id      1
Name: 0, dtype: object",População,Pessoas,,,25,Paraíba,N3,Unidade da Federação,1991,3200677
"id    606
id      1
Name: 0, dtype: object",População,Pessoas,,,25,Paraíba,N3,Unidade da Federação,2000,3439344
"id    606
id      1
Name: 0, dtype: object",População,Pessoas,,,25,Paraíba,N3,Unidade da Federação,2010,3766528
"id    606
id      1
Name: 0, dtype: object",População,Pessoas,,,26,Pernambuco,N3,Unidade da Federação,1950,3395766
"id    606
id      1
Name: 0, dtype: object",População,Pessoas,,,26,Pernambuco,N3,Unidade da Federação,1960,4138289
"id    606
id      1
Name: 0, dtype: object",População,Pessoas,,,26,Pernambuco,N3,Unidade da Federação,1970,5253901
"id    606
id      1
Name: 0, dtype: object",População,Pessoas,,,26,Pernambuco,N3,Unidade da Federação,1980,6244275
"id    606
id      1
Name: 0, dtype: object",População,Pessoas,,,26,Pernambuco,N3,Unidade da Federação,1991,7122548
"id    606
id      1
Name: 0, dtype: object",População,Pessoas,,,26,Pernambuco,N3,Unidade da Federação,2000,7911937
"id    606
id      1
Name: 0, dtype: object",População,Pessoas,,,26,Pernambuco,N3,Unidade da Federação,2010,8796448
"id    606
id      1
Name: 0, dtype: object",População,Pessoas,,,27,Alagoas,N3,Unidade da Federação,1950,1093137
"id    606
id      1
Name: 0, dtype: object",População,Pessoas,,,27,Alagoas,N3,Unidade da Federação,1960,1271062
"id    606
id      1
Name: 0, dtype: object",População,Pessoas,,,27,Alagoas,N3,Unidade da Federação,1970,1606174
"id    606
id      1
Name: 0, dtype: object",População,Pessoas,,,27,Alagoas,N3,Unidade da Federação,1980,2011875
"id    606
id      1
Name: 0, dtype: object",População,Pessoas,,,27,Alagoas,N3,Unidade da Federação,1991,2512991
"id    606
id      1
Name: 0, dtype: object",População,Pessoas,,,27,Alagoas,N3,Unidade da Federação,2000,2819172
"id    606
id      1
Name: 0, dtype: object",População,Pessoas,,,27,Alagoas,N3,Unidade da Federação,2010,3120494
"id    606
id      1
Name: 0, dtype: object",População,Pessoas,,,28,Sergipe,N3,Unidade da Federação,1950,644361
"id    606
id      1
Name: 0, dtype: object",População,Pessoas,,,28,Sergipe,N3,Unidade da Federação,1960,760273
"id    606
id      1
Name: 0, dtype: object",População,Pessoas,,,28,Sergipe,N3,Unidade da Federação,1970,911251
"id    606
id      1
Name: 0, dtype: object",População,Pessoas,,,28,Sergipe,N3,Unidade da Federação,1980,1156642
"id    606
id      1
Name: 0, dtype: object",População,Pessoas,,,28,Sergipe,N3,Unidade da Federação,1991,1491867
"id    606
id      1
Name: 0, dtype: object",População,Pessoas,,,28,Sergipe,N3,Unidade da Federação,2000,1781714
"id    606
id      1
Name: 0, dtype: object",População,Pessoas,,,28,Sergipe,N3,Unidade da Federação,2010,2068017
"id    606
id      1
Name: 0, dtype: object",População,Pessoas,,,29,Bahia,N3,Unidade da Federação,1950,4834575
"id    606
id      1
Name: 0, dtype: object",População,Pessoas,,,29,Bahia,N3,Unidade da Federação,1960,5990605
"id    606
id      1
Name: 0, dtype: object",População,Pessoas,,,29,Bahia,N3,Unidade da Federação,1970,7583140
"id    606
id      1
Name: 0, dtype: object",População,Pessoas,,,29,Bahia,N3,Unidade da Federação,1980,9597393
"id    606
id      1
Name: 0, dtype: object",População,Pessoas,,,29,Bahia,N3,Unidade da Federação,1991,11855157
"id    606
id      1
Name: 0, dtype: object",População,Pessoas,,,29,Bahia,N3,Unidade da Federação,2000,13066910
"id    606
id      1
Name: 0, dtype: object",População,Pessoas,,,29,Bahia,N3,Unidade da Federação,2010,14016906
"id    606
id      1
Name: 0, dtype: object",População,Pessoas,,,31,Minas Gerais,N3,Unidade da Federação,1950,7782188
"id    606
id      1
Name: 0, dtype: object",População,Pessoas,,,31,Minas Gerais,N3,Unidade da Federação,1960,9960040
"id    606
id      1
Name: 0, dtype: object",População,Pessoas,,,31,Minas Gerais,N3,Unidade da Federação,1970,11645095
"id    606
id      1
Name: 0, dtype: object",População,Pessoas,,,31,Minas Gerais,N3,Unidade da Federação,1980,13651852
"id    606
id      1
Name: 0, dtype: object",População,Pessoas,,,31,Minas Gerais,N3,Unidade da Federação,1991,15731961
"id    606
id      1
Name: 0, dtype: object",População,Pessoas,,,31,Minas Gerais,N3,Unidade da Federação,2000,17866402
"id    606
id      1
Name: 0, dtype: object",População,Pessoas,,,31,Minas Gerais,N3,Unidade da Federação,2010,19597330
"id    606
id      1
Name: 0, dtype: object",População,Pessoas,,,32,Espírito Santo,N3,Unidade da Federação,1950,957238
"id    606
id      1
Name: 0, dtype: object",População,Pessoas,,,32,Espírito Santo,N3,Unidade da Federação,1960,1418348
"id    606
id      1
Name: 0, dtype: object",População,Pessoas,,,32,Espírito Santo,N3,Unidade da Federação,1970,1617857
"id    606
id      1
Name: 0, dtype: object",População,Pessoas,,,32,Espírito Santo,N3,Unidade da Federação,1980,2063679
"id    606
id      1
Name: 0, dtype: object",População,Pessoas,,,32,Espírito Santo,N3,Unidade da Federação,1991,2598505
"id    606
id      1
Name: 0, dtype: object",População,Pessoas,,,32,Espírito Santo,N3,Unidade da Federação,2000,3094390
"id    606
id      1
Name: 0, dtype: object",População,Pessoas,,,32,Espírito Santo,N3,Unidade da Federação,2010,3514952
"id    606
id      1
Name: 0, dtype: object",População,Pessoas,,,33,Rio de Janeiro,N3,Unidade da Federação,1950,4674645
"id    606
id      1
Name: 0, dtype: object",População,Pessoas,,,33,Rio de Janeiro,N3,Unidade da Federação,1960,6709891
"id    606
id      1
Name: 0, dtype: object",População,Pessoas,,,33,Rio de Janeiro,N3,Unidade da Federação,1970,9110324
"id    606
id      1
Name: 0, dtype: object",População,Pessoas,,,33,Rio de Janeiro,N3,Unidade da Federação,1980,11489797
"id    606
id      1
Name: 0, dtype: object",População,Pessoas,,,33,Rio de Janeiro,N3,Unidade da Federação,1991,12783761
"id    606
id      1
Name: 0, dtype: object",População,Pessoas,,,33,Rio de Janeiro,N3,Unidade da Federação,2000,14367083
"id    606
id      1
Name: 0, dtype: object",População,Pessoas,,,33,Rio de Janeiro,N3,Unidade da Federação,2010,15989929
"id    606
id      1
Name: 0, dtype: object",População,Pessoas,,,35,São Paulo,N3,Unidade da Federação,1950,9134423
"id    606
id      1
Name: 0, dtype: object",População,Pessoas,,,35,São Paulo,N3,Unidade da Federação,1960,12974699
