nome,grupo_idade,localidade,serie_2000,serie_2010,serie_2022
População,15 a 17 anos,Roraima,...,...,33862
População,15 a 17 anos,Pará,...,...,439839
População,15 a 17 anos,Amapá,...,...,40397
População,15 a 17 anos,Tocantins,...,...,75942
População,15 a 17 anos,Maranhão,...,...,374934
População,15 a 17 anos,Piauí,...,...,155969
População,15 a 17 anos,Ceará,...,...,392095
População,15 a 17 anos,Rio Grande do Norte,...,...,146300
População,15 a 17 anos,Paraíba,...,...,177746
População,15 a 17 anos,Pernambuco,...,...,409870
População,15 a 17 anos,Alagoas,...,...,155398
População,15 a 17 anos,Sergipe,...,...,104952
População,15 a 17 anos,Bahia,...,...,637602
População,15 a 17 anos,Minas Gerais,...,...,809481
População,15 a 17 anos,Espírito Santo,...,...,152730
População,15 a 17 anos,Rio de Janeiro,...,...,600470
População,15 a 17 anos,São Paulo,...,...,1707409
População,15 a 17 anos,Paraná,...,...,456314
População,15 a 17 anos,Santa Catarina,...,...,285298
População,15 a 17 anos,Rio Grande do Sul,...,...,398734
População,15 a 17 anos,Mato Grosso do Sul,...,...,119896
População,15 a 17 anos,Mato Grosso,...,...,162674
População,15 a 17 anos,Goiás,...,...,301032
População,15 a 17 anos,Distrito Federal,...,...,122342
População,18 e 19 anos,Rondônia,...,...,48021
População,18 e 19 anos,Acre,...,...,31123
População,18 e 19 anos,Amazonas,...,...,145570
População,18 e 19 anos,Roraima,...,...,23013
População,18 e 19 anos,Pará,...,...,286939
População,18 e 19 anos,Amapá,...,...,27231
População,18 e 19 anos,Tocantins,...,...,49431
População,18 e 19 anos,Maranhão,...,...,237980
População,18 e 19 anos,Piauí,...,...,101389
População,18 e 19 anos,Ceará,...,...,256717
População,18 e 19 anos,Rio Grande do Norte,...,...,97226
População,18 e 19 anos,Paraíba,...,...,118529
População,18 e 19 anos,Pernambuco,...,...,275700
População,18 e 19 anos,Alagoas,...,...,102795
População,18 e 19 anos,Sergipe,...,...,67592
População,18 e 19 anos,Bahia,...,...,431357
População,18 e 19 anos,Minas Gerais,...,...,554110
População,18 e 19 anos,Espírito Santo,...,...,103299
População,18 e 19 anos,Rio de Janeiro,...,...,411508
População,18 e 19 anos,São Paulo,...,...,1150260
População,18 e 19 anos,Paraná,...,...,304712
População,18 e 19 anos,Santa Catarina,...,...,195331
População,18 e 19 anos,Rio Grande do Sul,...,...,270334
População,18 e 19 anos,Mato Grosso do Sul,...,...,78379
População,18 e 19 anos,Mato Grosso,...,...,108126
População,18 e 19 anos,Goiás,...,...,207769
População,18 e 19 anos,Distrito Federal,...,...,86204
População,20 a 24 anos,Rondônia,...,...,124515
População,20 a 24 anos,Acre,...,...,77247
População,20 a 24 anos,Amazonas,...,...,362878
População,20 a 24 anos,Roraima,...,...,58711
População,20 a 24 anos,Pará,...,...,707887
População,20 a 24 anos,Amapá,...,...,69388
População,20 a 24 anos,Tocantins,...,...,123471
População,20 a 24 anos,Maranhão,...,...,572449
População,20 a 24 anos,Piauí,...,...,258937
População,20 a 24 anos,Ceará,...,...,701679
População,20 a 24 anos,Rio Grande do Norte,...,...,255391
População,20 a 24 anos,Paraíba,...,...,301247
População,20 a 24 anos,Pernambuco,...,...,712918
População,20 a 24 anos,Alagoas,...,...,258640
População,20 a 24 anos,Sergipe,...,...,178868
População,20 a 24 anos,Bahia,...,...,1084267
População,20 a 24 anos,Minas Gerais,...,...,1526557
População,20 a 24 anos,Espírito Santo,...,...,276033
População,20 a 24 anos,Rio de Janeiro,...,...,1149011
População,20 a 24 anos,São Paulo,...,...,3210836
População,20 a 24 anos,Paraná,...,...,846638
População,20 a 24 anos,Santa Catarina,...,...,574485
População,20 a 24 anos,Rio Grande do Sul,...,...,755646
População,20 a 24 anos,Mato Grosso do Sul,...,...,206935
População,20 a 24 anos,Mato Grosso,...,...,289545
População,20 a 24 anos,Goiás,...,...,554318
População,20 a 24 anos,Distrito Federal,...,...,227966
População,25 a 29 anos,Rondônia,...,...,126056
População,25 a 29 anos,Acre,...,...,68848
População,25 a 29 anos,Amazonas,...,...,332163
População,25 a 29 anos,Roraima,...,...,55700
População,25 a 29 anos,Pará,...,...,665964
População,25 a 29 anos,Amapá,...,...,63419
População,25 a 29 anos,Tocantins,...,...,117576
População,25 a 29 anos,Maranhão,...,...,518068
População,25 a 29 anos,Piauí,...,...,242215
População,25 a 29 anos,Ceará,...,...,719689
População,25 a 29 anos,Rio Grande do Norte,...,...,256511
População,25 a 29 anos,Paraíba,...,...,296144
População,25 a 29 anos,Pernambuco,...,...,680743
População,25 a 29 anos,Alagoas,...,...,242922
População,25 a 29 anos,Sergipe,...,...,175310
População,25 a 29 anos,Bahia,...,...,1021456
População,25 a 29 anos,Minas Gerais,...,...,1536109
População,25 a 29 anos,Espírito Santo,...,...,279424
População,25 a 29 anos,Rio de Janeiro,...,...,1160926
População,25 a 29 anos,São Paulo,...,...,3306143
População,25 a 29 anos,Paraná,...,...,889031
População,25 a 29 anos,Santa Catarina,...,...,623099
População,25 a 29 anos,Rio Grande do Sul,...,...,783222
População,25 a 29 anos,Mato Grosso do Sul,...,...,216631
População,25 a 29 anos,Mato Grosso,...,...,303722
População,25 a 29 anos,Goiás,...,...,564470
População,25 a 29 anos,Distrito Federal,...,...,224162
População,30 a 39 anos,Rondônia,...,...,253223
População,30 a 39 anos,Acre,...,...,125875
População,30 a 39 anos,Amazonas,...,...,596414
População,30 a 39 anos,Roraima,...,...,98674
População,30 a 39 anos,Pará,...,...,1291231
População,30 a 39 anos,Amapá,...,...,115476
População,30 a 39 anos,Tocantins,...,...,234512
População,30 a 39 anos,Maranhão,...,...,1068030
População,30 a 39 anos,Piauí,...,...,509850
População,30 a 39 anos,Ceará,...,...,1401618
População,30 a 39 anos,Rio Grande do Norte,...,...,525855
População,30 a 39 anos,Paraíba,...,...,609074
População,30 a 39 anos,Pernambuco,...,...,1395368
População,30 a 39 anos,Alagoas,...,...,468522
População,30 a 39 anos,Sergipe,...,...,347004
População,30 a 39 anos,Bahia,...,...,2182095
População,30 a 39 anos,Minas Gerais,...,...,3126299
População,30 a 39 anos,Espírito Santo,...,...,605389
População,30 a 39 anos,Rio de Janeiro,...,...,2376896
População,30 a 39 anos,São Paulo,...,...,7039945
População,30 a 39 anos,Paraná,...,...,1748094
População,30 a 39 anos,Santa Catarina,...,...,1272471
População,30 a 39 anos,Rio Grande do Sul,...,...,1615622
População,30 a 39 anos,Mato Grosso do Sul,...,...,428459
População,30 a 39 anos,Mato Grosso,...,...,603862
População,30 a 39 anos,Goiás,...,...,1143567
População,30 a 39 anos,Distrito Federal,...,...,462483
População,40 a 49 anos,Rondônia,...,...,230699
População,40 a 49 anos,Acre,...,...,108066
População,40 a 49 anos,Amazonas,...,...,510664
População,40 a 49 anos,Roraima,...,...,78224
População,40 a 49 anos,Pará,...,...,1094817
População,40 a 49 anos,Amapá,...,...,94543
População,40 a 49 anos,Tocantins,...,...,213674
População,40 a 49 anos,Maranhão,...,...,892507
População,40 a 49 anos,Piauí,...,...,463880
População,40 a 49 anos,Ceará,...,...,1232589
População,40 a 49 anos,Rio Grande do Norte,...,...,475828
População,40 a 49 anos,Paraíba,...,...,570833
População,40 a 49 anos,Pernambuco,...,...,1314913
População,40 a 49 anos,Alagoas,...,...,437413
População,40 a 49 anos,Sergipe,...,...,321142
População,40 a 49 anos,Bahia,...,...,2126056
População,40 a 49 anos,Minas Gerais,...,...,3023580
População,40 a 49 anos,Espírito Santo,...,...,576351
População,40 a 49 anos,Rio de Janeiro,...,...,2401463
População,40 a 49 anos,São Paulo,...,...,6793597
População,40 a 49 anos,Paraná,...,...,1653079
População,40 a 49 anos,Santa Catarina,...,...,1114526
População,40 a 49 anos,Rio Grande do Sul,...,...,1532295
População,40 a 49 anos,Mato Grosso do Sul,...,...,391566
População,40 a 49 anos,Mato Grosso,...,...,530710
População,40 a 49 anos,Goiás,...,...,1065838
População,40 a 49 anos,Distrito Federal,...,...,463429
População,50 a 59 anos,Rondônia,...,...,180447
População,50 a 59 anos,Acre,...,...,71717
População,50 a 59 anos,Amazonas,...,...,339108
População,50 a 59 anos,Roraima,...,...,51855
População,50 a 59 anos,Pará,...,...,766180
População,50 a 59 anos,Amapá,...,...,63213
População,50 a 59 anos,Tocantins,...,...,156947
População,50 a 59 anos,Maranhão,...,...,645190
População,50 a 59 anos,Piauí,...,...,363126
População,50 a 59 anos,Ceará,...,...,997602
População,50 a 59 anos,Rio Grande do Norte,...,...,393069
População,50 a 59 anos,Paraíba,...,...,458865
População,50 a 59 anos,Pernambuco,...,...,1042581
População,50 a 59 anos,Alagoas,...,...,341081
População,50 a 59 anos,Sergipe,...,...,251026
População,50 a 59 anos,Bahia,...,...,1636443
População,50 a 59 anos,Minas Gerais,...,...,2595998
População,50 a 59 anos,Espírito Santo,...,...,467592
População,50 a 59 anos,Rio de Janeiro,...,...,2073125
População,50 a 59 anos,São Paulo,...,...,5577317
População,50 a 59 anos,Paraná,...,...,1458095
População,50 a 59 anos,Santa Catarina,...,...,937548
População,50 a 59 anos,Rio Grande do Sul,...,...,1427186
População,50 a 59 anos,Mato Grosso do Sul,...,...,317264
População,50 a 59 anos,Mato Grosso,...,...,399845
População,50 a 59 anos,Goiás,...,...,823795
População,50 a 59 anos,Distrito Federal,...,...,331472
População,60 a 69 anos,Rondônia,...,...,118007
População,60 a 69 anos,Acre,...,...,45538
População,60 a 69 anos,Amazonas,...,...,215739
População,60 a 69 anos,Roraima,...,...,31467
População,60 a 69 anos,Pará,...,...,507379
População,60 a 69 anos,Amapá,...,...,37479
População,60 a 69 anos,Tocantins,...,...,104386
População,60 a 69 anos,Maranhão,...,...,447639
População,60 a 69 anos,Piauí,...,...,259137
População,60 a 69 anos,Ceará,...,...,672897
População,60 a 69 anos,Rio Grande do Norte,...,...,263949
